SNR_dB,AWN_Accuracy,SAG_AWN_Accuracy,Improvement
-20,0.0995,0.1168,0.0173
-18,0.105,0.1518,0.0468
-16,0.1177,0.165,0.0473
-14,0.1536,0.2386,0.085
-12,0.2014,0.3186,0.1173
-10,0.2773,0.4123,0.135
-8,0.4523,0.585,0.1327
-6,0.6309,0.7418,0.1109
-4,0.7632,0.8455,0.0823
-2,0.8573,0.895,0.0377
0,0.9055,0.9268,0.0214
2,0.9209,0.9305,0.0095
4,0.9168,0.9305,0.0136
6,0.9214,0.9355,0.0141
8,0.9155,0.9341,0.0186
10,0.9295,0.9414,0.0118
12,0.9245,0.9364,0.0118
14,0.9241,0.9355,0.0114
16,0.9245,0.9386,0.0141
18,0.9223,0.9368,0.0145
